,ANO_OCORRENCIA,MES_OCORRENCIA,UF,MUNICIPIO,ESPECIE_ARMA,MARCA_ARMA,CALIBRE_ARMA,TIPO_OCORRENCIA,MAIS_1000_MIL_HAB,TOTAL,outlier
5718,2024,8,CE,FORTALEZA                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.40 S&W                                           ,Apreensão de Arma de Fogo                                                 ,S,1,False
5719,2024,8,CE,FORTALEZA                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,"7,65mm                                            ",Apreensão de Arma de Fogo                                                 ,S,1,False
5720,2024,8,CE,FORTALEZA                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apostilada no Exercito                                                    ,S,1,False
5721,2024,8,CE,FORTALEZA                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apreensão de Arma de Fogo                                                 ,S,1,False
5722,2024,8,CE,FORTALEZA                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
5723,2024,8,CE,FORTALEZA                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.32                                               ,Campanha do Desarmamento                                                  ,S,1,False
5724,2024,8,CE,FORTALEZA                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apreensão de Arma de Fogo                                                 ,S,4,False
5725,2024,8,CE,FORTALEZA                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Campanha do Desarmamento                                                  ,S,4,False
5726,2024,8,CE,ITAPAJÉ                            ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Apreensão de Arma de Fogo                                                 ,N,1,False
5727,2024,8,CE,JAGUARIBE                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apreensão de Arma de Fogo                                                 ,N,1,False
5728,2024,8,CE,JUAZEIRO DO NORTE                  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apreensão de Arma de Fogo                                                 ,S,1,False
5729,2024,8,CE,QUIXERAMOBIM                       ,Rifle                                             ,WINCHESTER                                                            ,.44 Magnum                                        ,Apreensão de Arma de Fogo                                                 ,N,1,False
5730,2024,8,CE,SOBRAL                             ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apreensão de Arma de Fogo                                                 ,S,1,False
5731,2024,8,CE,SÃO BENEDITO                       ,Revolver                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.38                                               ,Apreensão de Arma de Fogo                                                 ,N,1,False
5732,2024,8,CE,SÃO LUÍS DO CURU                   ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apreensão de Arma de Fogo                                                 ,N,1,False
5733,2024,8,DF,BRASÍLIA                           ,Carabina                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.38                                               ,Remetida ao Exército para destruição                                      ,S,1,False
5734,2024,8,DF,BRASÍLIA                           ,Espingarda                                        ,BOITO (E.R. AMANTINO & CIA)                                           ,.32                                               ,Remetida ao Exército para destruição                                      ,S,1,False
5735,2024,8,DF,BRASÍLIA                           ,Espingarda                                        ,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ,12                                                ,Extravio/Perda de Arma de Fogo                                            ,S,1,False
5736,2024,8,DF,BRASÍLIA                           ,Espingarda                                        ,ROSSI (AMADEO ROSSI S.A.)                                             ,12                                                ,Remetida ao Exército para destruição                                      ,S,1,False
5737,2024,8,DF,BRASÍLIA                           ,Pistola                                           ,ERMA WERKE (ERFURTER MASCHINENFABRIK)                                 ,"6,35mm                                            ",Remetida ao Exército para destruição                                      ,S,1,False
5738,2024,8,DF,BRASÍLIA                           ,Pistola                                           ,FN HERSTAL (FABRIQUE NATIONALE D ARMES DE GUERRE HERSTAL)             ,"7,65mm                                            ",Remetida ao Exército para destruição                                      ,S,1,False
5739,2024,8,DF,BRASÍLIA                           ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,2,False
